科类,年份,分数,最低位次,最高位次,同分人数
文科,2024,203,130071,130074,4
文科,2024,202,130075,130077,3
文科,2024,201,130078,130084,7
文科,2024,200,130085,130092,8
文科,2023,656,1,51,51
文科,2023,655,52,55,4
文科,2023,654,56,59,4
文科,2023,653,60,61,2
文科,2023,652,62,65,4
文科,2023,651,66,66,1
文科,2023,650,67,74,8
文科,2023,649,75,80,6
文科,2023,648,81,86,6
文科,2023,647,87,94,8
文科,2023,646,95,104,10
文科,2023,645,105,111,7
文科,2023,644,112,119,8
文科,2023,643,120,124,5
文科,2023,642,125,133,9
文科,2023,641,134,140,7
文科,2023,640,141,154,14
文科,2023,639,155,163,9
文科,2023,638,164,176,13
文科,2023,637,177,190,14
文科,2023,636,191,202,12
文科,2023,635,203,219,17
文科,2023,634,220,237,18
文科,2023,633,238,252,15
文科,2023,632,253,259,7
文科,2023,631,260,276,17
文科,2023,630,277,292,16
文科,2023,629,293,315,23
文科,2023,628,316,335,20
文科,2023,627,336,347,12
文科,2023,626,348,379,32
文科,2023,625,380,414,35
文科,2023,624,415,442,28
文科,2023,623,443,468,26
文科,2023,622,469,494,26
文科,2023,621,495,517,23
文科,2023,620,518,556,39
文科,2023,619,557,576,20
文科,2023,618,577,603,27
文科,2023,617,604,629,26
文科,2023,616,630,666,37
文科,2023,615,667,698,32
文科,2023,614,699,728,30
文科,2023,613,729,778,50
文科,2023,612,779,822,44
文科,2023,611,823,870,48
文科,2023,610,871,912,42
文科,2023,609,913,948,36
文科,2023,608,949,988,40
文科,2023,607,989,1041,53
文科,2023,606,1042,1092,51
文科,2023,605,1093,1145,53
文科,2023,604,1146,1200,55
文科,2023,603,1201,1243,43
文科,2023,602,1244,1310,67
文科,2023,601,1311,1370,60
文科,2023,600,1371,1420,50
文科,2023,599,1421,1483,63
文科,2023,598,1484,1551,68
文科,2023,597,1552,1625,74
文科,2023,596,1626,1690,65
文科,2023,595,1691,1756,66
文科,2023,594,1757,1848,92
文科,2023,593,1849,1914,66
文科,2023,592,1915,1997,83
文科,2023,591,1998,2083,86
文科,2023,590,2084,2171,88
文科,2023,589,2172,2255,84
文科,2023,588,2256,2364,109
文科,2023,587,2365,2445,81
文科,2023,586,2446,2546,101
文科,2023,585,2547,2627,81
文科,2023,584,2628,2740,113
文科,2023,583,2741,2848,108
文科,2023,582,2849,2968,120
文科,2023,581,2969,3071,103
文科,2023,580,3072,3191,120
文科,2023,579,3192,3311,120
文科,2023,578,3312,3443,132
文科,2023,577,3444,3560,117
文科,2023,576,3561,3682,122
文科,2023,575,3683,3784,102
文科,2023,574,3785,3940,156
文科,2023,573,3941,4066,126
文科,2023,572,4067,4189,123
文科,2023,571,4190,4351,162
文科,2023,570,4352,4496,145
文科,2023,569,4497,4664,168
文科,2023,568,4665,4832,168
文科,2023,567,4833,4993,161
文科,2023,566,4994,5165,172
文科,2023,565,5166,5348,183
文科,2023,564,5349,5516,168
文科,2023,563,5517,5673,157
文科,2023,562,5674,5846,173
文科,2023,561,5847,6028,182
文科,2023,560,6029,6209,181
文科,2023,559,6210,6405,196
文科,2023,558,6406,6581,176
文科,2023,557,6582,6779,198
文科,2023,556,6780,6989,210
文科,2023,555,6990,7185,196
文科,2023,554,7186,7392,207
文科,2023,553,7393,7612,220
文科,2023,552,7613,7842,230
文科,2023,551,7843,8063,221
文科,2023,550,8064,8290,227
文科,2023,549,8291,8506,216
文科,2023,548,8507,8722,216
文科,2023,547,8723,8956,234
文科,2023,546,8957,9181,225
文科,2023,545,9182,9423,242
文科,2023,544,9424,9671,248
文科,2023,543,9672,9940,269
文科,2023,542,9941,10203,263
文科,2023,541,10204,10494,291
文科,2023,540,10495,10775,281
文科,2023,539,10776,11054,279
文科,2023,538,11055,11342,288
文科,2023,537,11343,11640,298
文科,2023,536,11641,11917,277
文科,2023,535,11918,12207,290
文科,2023,534,12208,12498,291
文科,2023,533,12499,12800,302
文科,2023,532,12801,13104,304
文科,2023,531,13105,13393,289
文科,2023,530,13394,13709,316
文科,2023,529,13710,14061,352
文科,2023,528,14062,14411,350
文科,2023,527,14412,14722,311
文科,2023,526,14723,15040,318
文科,2023,525,15041,15406,366
文科,2023,524,15407,15739,333
文科,2023,523,15740,16100,361
文科,2023,522,16101,16468,368
文科,2023,521,16469,16827,359
文科,2023,520,16828,17202,375
文科,2023,519,17203,17564,362
文科,2023,518,17565,17987,423
文科,2023,517,17988,18405,418
文科,2023,516,18406,18785,380
文科,2023,515,18786,19195,410
文科,2023,514,19196,19607,412
文科,2023,513,19608,20049,442
文科,2023,512,20050,20458,409
文科,2023,511,20459,20875,417
文科,2023,510,20876,21294,419
文科,2023,509,21295,21704,410
文科,2023,508,21705,22140,436
文科,2023,507,22141,22568,428
文科,2023,506,22569,23045,477
文科,2023,505,23046,23498,453
文科,2023,504,23499,23966,468
文科,2023,503,23967,24406,440
文科,2023,502,24407,24854,448
文科,2023,501,24855,25329,475
文科,2023,500,25330,25834,505
文科,2023,499,25835,26324,490
文科,2023,498,26325,26810,486
文科,2023,497,26811,27301,491
文科,2023,496,27302,27820,519
文科,2023,495,27821,28354,534
文科,2023,494,28355,28861,507
文科,2023,493,28862,29364,503
文科,2023,492,29365,29857,493
文科,2023,491,29858,30357,500
文科,2023,490,30358,30866,509
文科,2023,489,30867,31436,570
文科,2023,488,31437,31948,512
文科,2023,487,31949,32527,579
文科,2023,486,32528,33079,552
文科,2023,485,33080,33645,566
文科,2023,484,33646,34162,517
文科,2023,483,34163,34745,583
文科,2023,482,34746,35282,537
文科,2023,481,35283,35806,524
文科,2023,480,35807,36336,530
文科,2023,479,36337,36944,608
文科,2023,478,36945,37562,618
文科,2023,477,37563,38151,589
文科,2023,476,38152,38758,607
文科,2023,475,38759,39336,578
文科,2023,474,39337,39957,621
文科,2023,473,39958,40555,598
文科,2023,472,40556,41170,615
文科,2023,471,41171,41758,588
文科,2023,470,41759,42360,602
文科,2023,469,42361,43010,650
文科,2023,468,43011,43631,621
文科,2023,467,43632,44225,594
文科,2023,466,44226,44796,571
文科,2023,465,44797,45404,608
文科,2023,464,45405,46056,652
文科,2023,463,46057,46692,636
文科,2023,462,46693,47313,621
文科,2023,461,47314,47978,665
文科,2023,460,47979,48606,628
文科,2023,459,48607,49266,660
文科,2023,458,49267,49891,625
文科,2023,457,49892,50542,651
文科,2023,456,50543,51202,660
文科,2023,455,51203,51847,645
文科,2023,454,51848,52509,662
文科,2023,453,52510,53172,663
文科,2023,452,53173,53858,686
文科,2023,451,53859,54530,672
文科,2023,450,54531,55200,670
文科,2023,449,55201,55850,650
文科,2023,448,55851,56511,661
文科,2023,447,56512,57177,666
文科,2023,446,57178,57874,697
文科,2023,445,57875,58500,626
文科,2023,444,58501,59186,686
文科,2023,443,59187,59875,689
文科,2023,442,59876,60531,656
文科,2023,441,60532,61219,688
文科,2023,440,61220,61955,736
文科,2023,439,61956,62644,689
文科,2023,438,62645,63287,643
文科,2023,437,63288,63965,678
文科,2023,436,63966,64668,703
文科,2023,435,64669,65386,718
文科,2023,434,65387,66086,700
文科,2023,433,66087,66788,702
文科,2023,432,66789,67491,703
文科,2023,431,67492,68186,695
文科,2023,430,68187,68902,716
文科,2023,429,68903,69625,723
文科,2023,428,69626,70343,718
文科,2023,427,70344,71092,749
文科,2023,426,71093,71783,691
文科,2023,425,71784,72543,760
文科,2023,424,72544,73265,722
文科,2023,423,73266,74008,743
文科,2023,422,74009,74697,689
文科,2023,421,74698,75456,759
文科,2023,420,75457,76194,738
文科,2023,419,76195,76875,681
文科,2023,418,76876,77539,664
文科,2023,417,77540,78193,654
文科,2023,416,78194,78907,714
文科,2023,415,78908,79686,779
文科,2023,414,79687,80477,791
文科,2023,413,80478,81228,751
文科,2023,412,81229,81972,744
文科,2023,411,81973,82714,742
文科,2023,410,82715,83459,745
文科,2023,409,83460,84178,719
文科,2023,408,84179,84901,723
文科,2023,407,84902,85650,749
文科,2023,406,85651,86468,818
文科,2023,405,86469,87243,775
文科,2023,404,87244,87951,708
文科,2023,403,87952,88667,716
文科,2023,402,88668,89358,691
文科,2023,401,89359,90058,700
文科,2023,400,90059,90780,722
文科,2023,399,90781,91464,684
文科,2023,398,91465,92188,724
文科,2023,397,92189,92921,733
文科,2023,396,92922,93621,700
文科,2023,395,93622,94297,676
文科,2023,394,94298,94956,659
文科,2023,393,94957,95639,683
文科,2023,392,95640,96331,692
文科,2023,391,96332,96992,661
文科,2023,390,96993,97697,705
文科,2023,389,97698,98389,692
文科,2023,388,98390,99031,642
文科,2023,387,99032,99713,682
文科,2023,386,99714,100373,660
文科,2023,385,100374,101060,687
文科,2023,384,101061,101726,666
文科,2023,383,101727,102325,599
文科,2023,382,102326,102989,664
文科,2023,381,102990,103563,574
文科,2023,380,103564,104146,583
文科,2023,379,104147,104803,657
文科,2023,378,104804,105411,608
文科,2023,377,105412,106050,639
文科,2023,376,106051,106618,568
文科,2023,375,106619,107208,590
文科,2023,374,107209,107788,580
文科,2023,373,107789,108378,590
文科,2023,372,108379,108921,543
文科,2023,371,108922,109489,568
文科,2023,370,109490,110076,587
文科,2023,369,110077,110632,556
文科,2023,368,110633,111138,506
文科,2023,367,111139,111644,506
文科,2023,366,111645,112167,523
文科,2023,365,112168,112704,537
文科,2023,364,112705,113229,525
文科,2023,363,113230,113780,551
文科,2023,362,113781,114293,513
文科,2023,361,114294,114799,506
文科,2023,360,114800,115266,467
文科,2023,359,115267,115779,513
文科,2023,358,115780,116245,466
文科,2023,357,116246,116711,466
文科,2023,356,116712,117169,458
文科,2023,355,117170,117607,438
文科,2023,354,117608,118080,473
文科,2023,353,118081,118529,449
文科,2023,352,118530,118959,430
文科,2023,351,118960,119366,407
